('s1', 'a1', 't71'),
('s1', 'a1', 't130'),
('s2', 'a1', 't71'),
('s3', 'a2', 't113'),
('s4', 'a3', 't43'),
('s4', 'a3', 't95'),
('s5', 'a4', 't94'),
('s5', 'a4', 't8'),
('s6', 'a5', 't44'),
('s7', 'a6', 't106'),
('s8', 'a7', 't110'),
('s9', 'a8', 't3'),
('s10', 'a9', 't45'),
('s11', 'a10', 't31'),
('s12', 'a9', 't45'),
('s13', 'a11', 't11'),
('s14', 'a12', 't102'),
('s15', 'a13', 't31'),
('s16', 'a14', 't31'),
('s17', 'a14', 't31'),
('s18', 'a13', 't31'),
('s18', 'a13', 't75'),
('s19', 'a13', 't31'),
('s20', 'a16', 't31'),
('s21', 'a17', 't31'),
('s22', 'a17', 't31'),
('s23', 'a18', 't64'),
('s24', 'a19', 't26'),
('s25', 'a20', 't56'),
('s26', 'a21', 't69'),
('s27', 'a22', 't104'),
('s28', 'a23', 't118'),
('s29', 'a24', 't83'),
('s29', 'a24', 't22'),
('s30', 'a25', 't36'),
('s31', 'a26', 't61'),
('s31', 'a26', 't131'),
('s32', 'a27', 't86'),
('s32', 'a27', 't100'),
('s33', 'a27', 't86'),
('s33', 'a27', 't100'),
('s34', 'a28', 't53'),
('s35', 'a29', 't37'),
('s36', 'a80', 't4'),
('s37', 'a81', 't89'),
('s38', 'a82', 't89'),
('s39', 'a83', 't78'),
('s40', 'a84', 't50'),
('s41', 'a85', 't12'),
('s42', 'a86', 't99'),
('s43', 'a87', 't125'),
('s44', 'a88', 't65'),
('s45', 'a89', 't30'),
('s46', 'a90', 't116'),
('s47', 'a91', 't31'),
('s48', 'a92', 't38'),
('s49', 'a93', 't80'),
('s50', 'a94', 't137'),
('s51', 'a95', 't117'),
('s51', 'a95', 't57'),
('s52', 'a94', 't137'),
('s53', 'a96', 't63'),
('s53', 'a96', 't7'),
('s55', 'a98', 't31'),
('s55', 'a98', 't10'),
('s56', 'a99', 't50'),
('s57', 'a100', 't127'),
('s58', 'a101', 't84'),
('s59', 'a102', 't124'),
('s60', 'a103', 't88'),
('s61', 'a104', 't15'),
('s62', 'a105', 't23'),
('s63', 'a106', 't33'),
('s64', 'a107', 't23'),
('s65', 'a108', 't76'),
('s66', 'a109', 't39'),
('s67', 'a110', 't47'),
('s67', 'a110', 't103'),
('s67', 'a110', 't128'),
('s68', 'a98', 't31'),
('s69', 'a30', 't86'),
('s69', 'a30', 't72'),
('s70', 'a27', 't86'),
('s70', 'a27', 't100'),
('s71', 'a27', 't86'),
('s71', 'a27', 't70'),
('s72', 'a31', 't121'),
('s73', 'a32', 't82'),
('s74', 'a33', 't74'),
('s75', 'a34', 't46'),
('s76', 'a35', 't105'),
('s77', 'a36', 't40'),
('s78', 'a37', 't58'),
('s79', 'a38', 't13'),
('s80', 'a39', 't19'),
('s81', 'a40', 't66'),
('s82', 'a41', 't111'),
('s83', 'a42', 't32'),
('s84', 'a43', 't34'),
('s85', 'a44', 't52'),
('s85', 'a44', 't25'),
('s86', 'a45', 't17'),
('s87', 'a46', 't35'),
('s88', 'a47', 't93'),
('s89', 'a48', 't133'),
('s89', 'a48', 't59'),
('s90', 'a49', 't136'),
('s91', 'a50', 't81'),
('s92', 'a51', 't1'),
('s93', 'a52', 't20'),
('s94', 'a53', 't135'),
('s95', 'a54', 't51'),
('s96', 'a55', 't120'),
('s97', 'a56', 't55'),
('s98', 'a57', 't123'),
('s101', 'a59', 't119'),
('s102', 'a60', 't132'),
('s103', 'a61', 't91'),
('s104', 'a62', 't54'),
('s105', 'a63', 't77'),
('s106', 'a64', 't67'),
('s107', 'a65', 't108'),
('s108', 'a66', 't48'),
('s109', 'a67', 't18'),
('s110', 'a68', 't2'),
('s111', 'a69', 't60'),
('s111', 'a69', 't98'),
('s112', 'a70', 't29'),
('s113', 'a71', 't129'),
('s114', 'a72', 't112'),
('s115', 'a73', 't64'),
('s116', 'a74', 't85'),
('s117', 'a75', 't28'),
('s118', 'a76', 't134'),
('s119', 'a77', 't126'),
('s120', 'a78', 't62'),
('s121', 'a79', 't14'),
('s122', 'a91', 't31'),
('s123', 'a112', 't97'),
('s124', 'a113', 't122'),
('s125', 'a114', 't101'),
('s126', 'a115', 't42'),
('s127', 'a116', 't41'),
('s128', 'a117', 't9'),
('s129', 'a118', 't16'),
('s130', 'a119', 't24'),
('s131', 'a120', 't109'),
('s133', 'a122', 't115'),
('s133', 'a122', 't90'),
('s134', 'a123', 't114'),
('s135', 'a124', 't21'),
('s136', 'a125', 't28'),
('s138', 'a1', 't71'),
('s99', 'a58', 't6'),
('s100', 'a111', 't5'),
('s54', 'a87', 't87'),
('s132', 'a121', 't92')
